id_version,n_classes,m_c_BC
461625fd1f7242a1223f8e73716e9f2b4e9fd8a5,987,0.029273504
c1a6c13526273a319319d2dc8979e5b5b2c97531,987,0.029273504
b42f388da5d4c11f6607596f2e7493cbed5d0e55,987,0.029273504
c9f921412f96941ca201b04b8892aae78437c466,987,0.029273504
080623849526ad1655be54482797aa606a822a17,987,0.029273504
b14df3686d579607e6a862ae694027de238a0265,987,0.029668117
42261eaab77c7c62f106aa6e8cbbb68ce0b03b6b,987,0.029668117
ec3128440c02d29d74c8ebcaef6cbcec5ba3efee,987,0.029668117
089b9a35fbcdde25ecbf13991eb4a2a7d661fb90,987,0.029668117
33f2b58a55dfb8e299d33d4c83831d9e1ee2b6aa,987,0.029668117
a732f3311f26220fcd89fb04fd9adc37b6659ac2,987,0.029668117
274ae8dc032c0ced271cd51ec0db9ef6554cd91a,987,0.029668117
756c2ac9e69ba74df7d7fe1dfce7826f0b848f17,987,0.029668117
c3e74d859b3c351042ca4d5cffafca10c651eb89,987,0.029668117
b6aa471b52a8d0df032ce09e49c143eacc6506ab,987,0.029668117
0d122f81028fbde68748f9e7b58e878aef3809f8,987,0.029668117
93e9352c2cf40d24c80e01d66df59a713a6edf2b,987,0.029668117
b724172295b3c9fd733bf4119449134bf7bf0848,987,0.029668117
275e0b5f85bde0af1260e3051bd5e8b74672df42,987,0.029668117
7597c502c708e185e372ef7c0f2bca0efbeea4ec,987,0.029668117
529291c3f7b06d331951cd799404304d9637122e,987,0.029668117
ea218e422ad7171992c45c43661bb78cb2aff77c,987,0.029668117
fbc85fbb23d08a33ef78cbc65a077a79c6c68df6,987,0.029668117
e47b784fd461395f2816bebf5927ed7d5bde222f,987,0.029668117
e0a00b9e505c5137e23be35a8cd2aa847d9f75f9,987,0.029668117
40e9bb509020566f36d48d3e18c0b0b9b21ba2a7,987,0.029668117
b660bb547ff303db184777a0011a9123499470d1,987,0.029668117
da8b9aee8146d7ded19a7724321da650fdc8e8e6,987,0.029668117
508eed9fe3238d5a4ad9a2be809e1084e0e7eb89,987,0.029668117
88ef19902d5f1e0b79189047fd92be780c81ee3b,987,0.029668117
4eca8fbd3d06f2ae8600b4f389d1a06d7b1d96a4,987,0.029668117
6a23157c634f7a4284a4f57afa5d9bcf833b5927,987,0.029668117
2a85da387a34eb58260f7c939d6df1faa9e9f5fe,987,0.029668117
4522d956908cee8978732661fa7778ef2c8cb817,987,0.029668117
ac838c3e1e30a5da506468f42125eeff040f3bd0,987,0.029668117
c3cb77b6f3d5625edb222057b5ddfeabae12be9c,987,0.029668117
5e998ebaf231f0191d53461889e3113fa67afd32,987,0.029668117
191e1a29c169b6cd182066158451ce0e3abba388,987,0.029668117
b158dde813d570ad9ffeb65916ab1318a952c5c7,987,0.029668117
ed36547cf77672f7c47c11e5077bd2017c2c7833,987,0.029668117
24d76ded7149e3896c25cd3a478373aae9b5bf09,987,0.029273504
2aa60dd88cb944cd9f6423511f8daac391fb621b,987,0.028943278
c0ed57e7e2003117a8f6966ee144c409c9fc2fb4,987,0.029668117
28114bcbe0a89ca83427187e98897849dbf5fa0e,987,0.029668117
f12599b5be230eb0c1ba7732637c021986fb4861,987,0.029668117
6dc65fcb8cca209b8cc41429fbeea1f7ea84976a,987,0.029668117
7881741363d44b736702b36d7e2df62225dd51f6,987,0.029668117
bbd2c2908b9806bd6b6e668e8cdb0998d5926b2f,987,0.029668117
e8b19b2dc02ce103e971df1841a16bc5b5464765,987,0.029668117
1851c600d371356ad2830868b7d699ac87443623,987,0.029668117
e98a8fddfc65e564360c0395fc2e35714bb187d5,987,0.029668117
59c35cf4aa29517808e3382e6b9b63dea89f2a87,987,0.029668117
7e73c95b5791ca0e782553ce5316d60a004e0270,987,0.029668117
61f3b48e99ddd733daf435eee2ea1c643c4f6a21,985,0.029668117
9d7887f00218d39b63f209e86e248f895b10cb87,985,0.029668117
ac5baa65cf63c55e12b4f2fb526a6b467e7f9093,985,0.029668117
2a8ded9d568ca56bc8b0a410bc741b49824fcbd7,985,0.029668117
4eff8cf6f5da480e918fdcf6a58c1b7ec985c3d7,985,0.029668117
7b5428345cedf9ec3e295062523857e7184c5c11,985,0.029668117
a942e6c9e4fab9f68ee4f7739e137cde9fe63e7c,985,0.029668117
9a531945e3d13425725fae8d93d61140e7f7826f,985,0.029668117
d2cc3fc846184313929ca121819ea6463e4ee787,985,0.029668117
974c482aab44e6b02931934beb28155f0fabe62e,985,0.029668117
